persona_code,word,frequency
1,best,99393.0
1,woman,101282.0
1,about,103625.0
1,new,109551.0
1,one,110532.0
1,boyfriend,110992.0
1,old,115607.0
1,that,116653.0
1,unable,122647.0
1,teacher,124900.0
1,daughter,139378.0
1,student,139385.0
1,girlfriend,148562.0
1,man,150983.0
1,able,180027.0
1,doctor,186717.0
1,young,202685.0
1,son,632862.0
1,mother,853899.0
1,friend,928854.0
2,kidnap,20012.0
2,call,20402.0
2,fall,20914.0
2,escape,21055.0
2,deliver,21799.0
2,stop,22632.0
2,claim,23130.0
2,beat,29313.0
2,show,30848.0
2,buy,32792.0
2,hire,33666.0
2,offer,35039.0
2,pay,35467.0
2,play,37641.0
2,sell,41397.0
2,drive,60747.0
2,work,67032.0
2,give,78980.0
2,steal,82561.0
2,have,131831.0
3,show,86169.0
3,take,87223.0
3,talk,93584.0
3,explain,113356.0
3,make,116189.0
3,meet,139904.0
3,call,141395.0
3,know,149044.0
3,come,153509.0
3,want,156945.0
3,do,161945.0
3,get,190542.0
3,be,192771.0
3,leave,204679.0
3,give,251418.0
3,have,274175.0
3,ask,413009.0
3,go,483613.0
3,say,535422.0
3,tell,885457.0
4,reject,25380.0
4,say,27249.0
4,abandon,28046.0
4,develop,28486.0
4,live,28617.0
4,beat,31475.0
4,invite,32738.0
4,follow,35283.0
4,determine,39441.0
4,fire,39981.0
4,seduce,48778.0
4,catch,49904.0
4,reunite,51606.0
4,attract,56060.0
4,introduce,62522.0
4,involve,74847.0
4,visit,80955.0
4,force,126128.0
4,take,126345.0
4,leave,143281.0
5,bring,34941.0
5,break,36248.0
5,call,37932.0
5,develop,39305.0
5,work,42291.0
5,set,45457.0
5,use,54198.0
5,manage,63741.0
5,start,71025.0
5,try,71139.0
5,lose,75037.0
5,grow,75364.0
5,play,77260.0
5,come,98439.0
5,meet,111433.0
5,fall,127497.0
5,live,138331.0
5,decide,163499.0
5,be,271825.0
5,have,292733.0
6,s,3249.0
6,brother,3430.0
6,angry,3788.0
6,man,3824.0
6,businessman,3959.0
6,alcoholic,3978.0
6,one,4490.0
6,real,4753.0
6,own,5266.0
6,wealthy,6344.0
6,alive,6494.0
6,late,8899.0
6,clone,10562.0
6,dead,11719.0
6,vampire,13838.0
6,dad,41532.0
6,zombie,58965.0
6,uncle,81880.0
6,husband,261897.0
6,father,1141684.0
7,see,36765.0
7,sneak,38698.0
7,encounter,42576.0
7,hear,42808.0
7,wake,45840.0
7,hide,45860.0
7,drive,46153.0
7,die,56408.0
7,flee,67392.0
7,realize,68575.0
7,enter,70427.0
7,begin,98548.0
7,make,106649.0
7,escape,108284.0
7,arrive,114580.0
7,leave,147579.0
7,run,157808.0
7,discover,178808.0
7,go,258721.0
7,find,462542.0
8,throw,20588.0
8,open,20852.0
8,hide,21031.0
